dataset,group,method,value,accuracy,n_samples
mmbench,action_recognition,baseline,1.0,0.96,50
mmbench,attribute_comparison,baseline,1.0,0.6,50
mmbench,attribute_recognition,baseline,1.0,0.98,50
mmbench,celebrity_recognition,baseline,1.0,0.98,50
mmbench,function_reasoning,baseline,1.0,0.96,50
mmbench,future_prediction,baseline,1.0,0.62,50
mmbench,identity_reasoning,baseline,1.0,1.0,50
mmbench,image_emotion,baseline,1.0,0.8,50
mmbench,image_quality,baseline,1.0,0.5,50
mmbench,image_scene,baseline,1.0,0.98,50
mmbench,image_style,baseline,1.0,0.96,50
mmbench,image_topic,baseline,1.0,0.98,50
mmbench,nature_relation,baseline,1.0,0.8,50
mmbench,object_localization,baseline,1.0,0.74,50
mmbench,ocr,baseline,1.0,0.98,50
mmbench,physical_property_reasoning,baseline,1.0,0.66,50
mmbench,physical_relation,baseline,1.0,0.58,50
mmbench,social_relation,baseline,1.0,0.94,50
mmbench,spatial_relationship,baseline,1.0,0.48,50
mmbench,structuralized_imagetext_understanding,baseline,1.0,0.9,50
pope,adversarial,baseline,1.0,0.82,50
pope,popular,baseline,1.0,0.8,50
pope,random,baseline,1.0,0.88,50
vlm_bias,Animals,baseline,1.0,0.0,50
vlm_bias,Chess_Pieces,baseline,1.0,0.0,50
vlm_bias,Flags,baseline,1.0,0.52,50
vlm_bias,Game_Boards,baseline,1.0,0.1,50
vlm_bias,Logos,baseline,1.0,0.22,50
vlm_bias,Optical_Illusion,baseline,1.0,0.28,50
vlm_bias,Patterned_Grid,baseline,1.0,0.08,50
