commit	accuracy	status	description
6f3a6af2	0.8600	keep	baseline: no intervention adversarial n=50
6f3a6af2	0.8600	keep	SRF start: prob_interp λ=0.5 clip-7x7 top30% layers 8-15 h50% beta=0.1
0395c585	0.8600	keep	prob_interp λ=0.3 tie with baseline
f3b9b09f	0.8600	keep	prob_interp λ=0.7 tie with baseline
5fcc0179	0.8600	keep	prob_interp λ=1.0 tie with baseline
6858c49f	0.8800	keep	baseline: no intervention adversarial n=100
ef86a2e1	0.8700	discard	CLIP additive_logit alpha=3.0 fixed-formula — hurt by 0.01 (CLIP boosts wrong region)
cf528aad	0.8600	discard	HSSA-L8 additive_logit alpha=3.0 — 14 wrong (10FN+4FP) vs baseline 12, boost too strong
086f61cc	0.8800	discard	HSSA-L8 additive_logit alpha=1.0 — tie with baseline
27c6fbf2	0.8700	discard	HSSA-L8 additive_logit alpha=2.0 — still hurt, boost disrupts correct cases
078d4580	0.8700	discard	HSSA-L8 additive_logit alpha=1.0 eps=0.5 — relative contrast still hurts
b7898617	0.8500	discard	global_redistribute img_scale=1.5 HSSA-L8 — takes from text→image too aggressively
2239eba2	0.8700	discard	attn_floor prob_floor=0.005 HSSA-L8 — still worse, any attn redistribution hurts
4d1ff9b3	0.8700	discard	late layers 28-35 additive_logit alpha=1.0 — late layers more sensitive, still hurts
540876f6	0.8800	discard	alpha=1.5 head20% HSSA-L8 — neutral, narrower heads allow higher alpha
9b01571b	0.8700	discard	alpha=2.0 head20% HSSA-L8 — alpha=1.5 was neutral ceiling for 20% heads
73350e64	0.8800	discard	alpha=3.0 layers 10-12 head20% HSSA-L8 — neutral, minimal range allows strong alpha
ce70b859	0.8700	discard	alpha=5.0 layers 10-12 head20% — saliency unreliable, any effective boost hurts
ceb466a3	0.8800	discard	suppress-only alpha=0 eps=1.5 HSSA-L8 head20% — neutral
ca82247c	0.8700	discard	suppress-only alpha=0 eps=3.0 — eps=1.5 neutral ceiling, eps=3.0 hurts
36a52ed6	0.8800	discard	CLIP thresh=0.248 alpha=2.0 head20% — threshold fixed hurt! Now neutral not 0.87
66e0f6df	0.8800	discard	CLIP thresh=0.248 alpha=3.0 head20% — neutral, threshold prevents hurt
91dd601e	0.8700	discard	CLIP thresh=0.248 alpha=2.0 head50% — threshold doesn't help with 50% heads
7cd1bb54	0.8800	discard	asymmetric boost=1.0 suppress=3.0 thresh=0.248 — neutral, interventions cancel out
2fceb50e	0.8800	discard	thresh=0.243 boost=1.0 suppress=3.0 — still neutral, alphas too weak to flip predictions
29b1151b	0.8900	keep	CLIP thresh=0.248 boost=2.0 suppress=5.0 head20% layers 8-15 — +0.01 FIRST IMPROVEMENT
92e5b64a	0.8800	discard	suppress=8.0 — too strong, broke correct TN cases
bb2401ad	0.8900	discard	boost=3.0 suppress=5.0 — same 0.89, try higher boost
a8750279	0.8900	discard	boost=5.0 suppress=5.0 — plateau at 0.89 for alpha sweep; best is boost=2 suppress=5
487a7390	0.8800	discard	5x5 grid — threshold recalibration needed, 7x7 better
20e67706	0.8900	discard	clip_top_k=0.20 — same result, mask tightness not the bottleneck
3be5326b	0.8800	discard	background_eps=0.5 — sharper boost breaks correct TN cases
d266fa8d	0.8800	discard	suppress-only boost=0 — both boost+suppress needed together for the 0.89 gain
50f4cc67	0.8600	discard	head30% — head20% is critical limit, adding heads breaks it
4cf54ec4	0.8900	discard	thresh=0.246 — same 0.89, threshold not the limiting factor
cfacd1da	0.8800	discard	thresh=0.250 — threshold opt range 0.246-0.248
a6aeea90	0.8700	discard	clip_hssa ensemble — HSSA noise hurts, pure CLIP is better
1329e3b5	0.8800	discard	layers 6-15 — earlier layers add noise
b911b18c	0.8700	discard	layers 8-19 — later layers hurt, 8-15 is optimal
fa018ace	0.8900	discard	sys_beta=0.05 — same 0.89, sys_beta not the limiting factor
84d50c1a	0.8900	discard	sys_beta=0 — sys_beta completely insensitive at this config
a390af02	0.8800	discard	binary mask — soft gradient better than hard binary
54de64fe	0.8800	discard	suppress=6.0 — optimal is exactly 5.0, range 5-5.0
d8767c23	0.8900	discard	clip_top_k=0.15 — same 0.89, mask tightness irrelevant
4fc9afa8	0.8700	discard	boost=10.0 — extreme boost breaks TP cases, sweet spot is boost<=5.0
29b1151b	0.8933	keep	VALIDATION all3splits: adv=0.89 pop=0.89 rnd=0.90 avg=0.8933 — SRF CLIP abs-aware strategy
0193377a	0.8600	discard	clip_coarse_grid=9 — finer grid degrades threshold calibration (-0.03)
3c657560	0.8900	discard	all-head suppress for absent — neutral same as 20% heads
